AANG1	Peachtree Creek at Atlanta
LGNO3	Grande Ronde River near Perry
LGNU1	Logan River near Logan
LGPM5	Long Prairie River at Long Prairie
LGRM7	Mississippi River at LaGrange
LGRT2	Colorado River (TX) above La Grange
LHTP1	Lehigh River at Lehighton
LHTP1LGH	
LHVP1	West Branch Susquehanna River at Lock Haven
LHVP1WBS	
LIES2	Grand River (SD) near Little Eagle
LIKF1	Suwannee River near Suwannee Springs
LILC2	Little Snake River near Lily
LINK1	Saline River (KS) at Lincoln
LIRV2	James River (VA) at Lick Run
LIRV2JMS	
LISK1	Rock Creek (KS) at Louisville
LITA4	Arkansas River at Little Rock
LITF1	Alafia River (FL) at Lithia
LITW2	Tug Fork River at Litwar
LIVM8	Yellowstone River near Livingston
LIVT2	Long King Creek at Livingston
LKCM5	Mississippi River at Lake City
LKCM7	Little Blue River (MO) near Lake City
LKNN6	Ninemile Creek at Lakeland
LKNN6GRL	
LKST2	Leon Creek at San Antonio I-35 South
LKWN5	Fourmile Draw other Lakewood
LLAT2	Llano River at Llano
LLGT2	San Marcos River at Luling
LLLN7	Cape Fear River at Lillington
LLRW4	Laramie River at Laramie
LMAC2	Arkansas River at Lamar
LMCN8	Little Muddy River near Williston
LMCT2	East Mustang Creek near Louise
LMGM6	Tallahatchie River near Lambert
LMRI4	Floyd River at Le Mars
LNCP1	Conestoga River at Lancaster
LNCP1CSG	
LNDK1	Salt Creek (LNDK1) at Lyndon
LNDO2	Washita River at Lindsay
LNEK1	Pottawatomie Creek at Lane
LNGP1	Neshaminy Creek at Langhorne
LNGP1NMY	
LNMI2	Spoon River at London Mills
LNNI4	Little Sioux River at Linn Grove
LNRI2	Vermilion River (N-IL) near Leonore
LNRK1	N F Solomon River at Lenora
LNSI4	Mississippi River at Lansing
LNSK1	Smoky Hill River at Lindsborg
LNSM4	Grand River at Lansing
LNSM5	South Branch Root River at Lanesboro
LNTI4	Iowa River near Lone Tree
LOCO1	Loramie Creek near Lockington
LODN4	Saddle River at Lodi
LODN4SDL	
LOGM6	Tallahatchie River at Locopolis
LOGM8	Gallatin River at Logan
LOGW2	Guyandotte River at Logan
LOLT2	Trinity River near Long Lake (Oakwood)
LONT2	Sabine River below Longview
LOUK1	Vermillion Creek near Louisville
LOUN1	Platte River at Louisville
LOUN7	Tar River at Louisburg
LOVC2	Plum Creek (CO) near Sedalia
LOVG1	Flint River near Lovejoy
LOWM3	Merrimack River at Lowell
LOWM3MER	
LOWN7	South Fork Catawba River at Lowell
LOYP1	Loyalsock Creek at Loyalsockvile
LOYP1LOY	
LPHC2	La Plata River above Hesperus
LPOL1	Tickfaw River at Liverpool
LPTK2	Kentucky River at Lockport
LPTL1	Sabine River at Logansport
LRIT2	Little River near Little River
LRYA1	Tombigbee River near Leroy
LRYK1	Neosho River at Le Roy
LSDW1	Little Spokane River at Dartford
LSDW4	Little Snake River near Dixon
LSHA2	Little Susitna R at Parks Hwy Bridge
LSLI2	Illinois River near La Salle
LSNT2	Navidad River at Strane Park
LSON1	North Platte River at Lisco
LSRC2	Little Snake River near Slater
LSSI4	Little Sioux River above Spencer
LSUA2	Little Susitna R below Hatcher Pass Bridge
LTFN4	Passaic River at Little Falls
LTFN4PSC	
LTLN6	Mohawk River at Little Falls
LTLN6HUD	
LTRT2	Pecos River near Langtry
LUFT2	Angelina River near Lufkin
LUKM2	North Branch Potomac River at Luke
LUKM2POT	
LULT2	Plum Creek near Luling
LURF1	Suwannee River at Luraville (SR 51)
LURM6	Tallahala Creek at Laurel
LUSM7	Mississippi River at Louisiana
LUVM5	Rock River at Luverne
LVNA1	Sucarnoochee River at Livingston
LVNM8	Musselshell River near Lavina
LVRN6	Onondaga Lake at Liverpool
LWBP1	West Branch Susquehanna River at Lewisburg
LWBP1WBS	
LWLM4	Grand River at Lowell
LWRK1	Kansas River at Lawrence
LWSP1	Juniata River at Lewistown
LWSP1JUN	
LXHC2	Arkansas River at La Junta
LYMM6	Biloxi River near Lyman
LYNI3	Wabash River at Linn Grove
LYNK1	Cow Creek (KS) at Lyons
LYNT2	Davidson Creek near Lyons
LYNW3	Mississippi River at Lynxville
LYTI3	Wildcat Creek (IN) near Lafayette
LYWV2	South Fork Shenandoah River near Lynnwood
LYWV2SHN	
